lylty_card_nbr,lifestage,premium_customer,total_sales,total_units,transactions,avg_spend_per_txn,last_purchase,recency_days,frequency,monetary,R_score,F_score,M_score,rfm_score,cluster
1105,RETIREES,Premium,2.1,1,1,2.1,2019-03-28,94,1,2.1,3,1,1,311,4
1107,OLDER SINGLES/COUPLES,Mainstream,2.9,1,1,2.9,2018-07-09,356,1,2.9,1,1,1,111,3
1108,RETIREES,Mainstream,2.6,1,1,2.6,2019-04-23,68,1,2.6,3,1,1,311,4
1109,OLDER SINGLES/COUPLES,Mainstream,2.9,1,1,2.9,2018-12-17,195,1,2.9,1,1,1,111,3
1111,RETIREES,Premium,4.2,2,1,4.2,2018-10-04,269,1,4.2,1,1,1,111,3
1113,YOUNG SINGLES/COUPLES,Mainstream,4.4,1,1,4.4,2019-03-26,96,1,4.4,3,1,1,311,4
1114,OLDER FAMILIES,Premium,7.3,2,2,3.65,2018-09-19,284,2,7.3,1,2,1,121,3
1115,RETIREES,Premium,6,2,1,6,2019-04-10,81,1,6,3,1,1,311,4
1116,OLDER SINGLES/COUPLES,Premium,18.5,4,3,6.166666666666667,2019-04-17,74,3,18.5,3,3,3,333,4
1118,RETIREES,Mainstream,9.3,4,3,3.1,2019-05-07,54,3,9.3,4,3,2,432,4
1120,YOUNG SINGLES/COUPLES,Mainstream,4.4,1,1,4.4,2018-09-23,280,1,4.4,1,1,1,111,3
1121,OLDER SINGLES/COUPLES,Premium,4.9,2,2,2.45,2019-05-12,49,2,4.9,4,2,1,421,4
1122,OLDER SINGLES/COUPLES,Budget,7.4,2,1,7.4,2018-08-08,326,1,7.4,1,1,1,111,3
1123,MIDAGE SINGLES/COUPLES,Mainstream,1.9,1,1,1.9,2019-02-04,146,1,1.9,2,1,1,211,4
1124,RETIREES,Mainstream,3,1,1,3,2019-06-27,3,1,3,5,1,1,511,4
1125,OLDER SINGLES/COUPLES,Premium,5.8,2,1,5.8,2018-11-12,230,1,5.8,1,1,1,111,3
1127,RETIREES,Mainstream,2.1,1,1,2.1,2019-04-24,67,1,2.1,3,1,1,311,4
1133,YOUNG FAMILIES,Budget,2.7,1,1,2.7,2019-03-15,107,1,2.7,2,1,1,211,4
1134,RETIREES,Mainstream,10.3,3,3,3.4333333333333336,2019-05-26,35,3,10.3,4,3,2,432,4
1136,OLDER FAMILIES,Budget,2.1,1,1,2.1,2019-02-02,148,1,2.1,2,1,1,211,4
1139,OLDER SINGLES/COUPLES,Premium,6.1,2,2,3.05,2019-06-25,5,2,6.1,5,2,1,521,4
1140,RETIREES,Mainstream,8.8,2,1,8.8,2018-07-09,356,1,8.8,1,1,2,112,3
1141,YOUNG SINGLES/COUPLES,Mainstream,7.6,2,2,3.8,2018-12-03,209,2,7.6,1,2,1,121,3
1142,OLDER FAMILIES,Premium,8.600000000000001,3,2,4.300000000000001,2019-04-22,69,2,8.600000000000001,3,2,2,322,4
1146,YOUNG SINGLES/COUPLES,Premium,7.8,3,3,2.6,2019-05-24,37,3,7.8,4,3,2,432,4
1147,NEW FAMILIES,Premium,5.4,1,1,5.4,2018-08-11,323,1,5.4,1,1,1,111,3
1149,YOUNG FAMILIES,Mainstream,2.6,1,1,2.6,2019-05-01,60,1,2.6,3,1,1,311,4
1150,YOUNG SINGLES/COUPLES,Budget,14.3,4,3,4.766666666666667,2019-04-14,77,3,14.3,3,3,2,332,4
1155,OLDER SINGLES/COUPLES,Budget,3,1,1,3,2018-07-16,349,1,3,1,1,1,111,3
1156,RETIREES,Premium,3.7,1,1,3.7,2018-09-16,287,1,3.7,1,1,1,111,3
1158,OLDER SINGLES/COUPLES,Mainstream,2.1,1,1,2.1,2019-02-08,142,1,2.1,2,1,1,211,4
1159,YOUNG SINGLES/COUPLES,Mainstream,18.900000000000002,4,4,4.7250000000000005,2019-05-05,56,4,18.900000000000002,3,3,3,333,4
1161,YOUNG SINGLES/COUPLES,Mainstream,3.7,1,1,3.7,2018-09-02,301,1,3.7,1,1,1,111,3
1163,YOUNG SINGLES/COUPLES,Mainstream,8.4,2,2,4.2,2019-02-07,143,2,8.4,2,2,2,222,4
1164,YOUNG SINGLES/COUPLES,Mainstream,6.5,2,2,3.25,2019-03-02,120,2,6.5,2,2,1,221,4
1165,YOUNG SINGLES/COUPLES,Budget,3,1,1,3,2019-05-17,44,1,3,4,1,1,411,4
1168,YOUNG SINGLES/COUPLES,Premium,8.8,2,1,8.8,2019-03-10,112,1,8.8,2,1,2,212,4
1169,NEW FAMILIES,Budget,8.8,3,2,4.4,2019-01-18,163,2,8.8,2,2,2,222,3
1172,OLDER FAMILIES,Mainstream,6,2,1,6,2018-10-25,248,1,6,1,1,1,111,3
1173,RETIREES,Mainstream,8.1,3,3,2.6999999999999997,2018-12-20,192,3,8.1,1,3,2,132,3
1174,OLDER SINGLES/COUPLES,Budget,14.2,4,2,7.1,2019-02-15,135,2,14.2,2,2,2,222,4
1177,YOUNG SINGLES/COUPLES,Mainstream,3.7,1,1,3.7,2019-06-18,12,1,3.7,5,1,1,511,4
1178,RETIREES,Mainstream,4.2,1,1,4.2,2018-10-21,252,1,4.2,1,1,1,111,3
1179,YOUNG SINGLES/COUPLES,Mainstream,15.600000000000001,4,3,5.2,2019-05-27,34,3,15.600000000000001,4,3,2,432,4
1181,YOUNG SINGLES/COUPLES,Premium,1.9,1,1,1.9,2018-09-18,285,1,1.9,1,1,1,111,3
1182,YOUNG SINGLES/COUPLES,Budget,10.4,3,2,5.2,2018-12-17,195,2,10.4,1,2,2,122,3
1183,YOUNG SINGLES/COUPLES,Budget,8.4,3,2,4.2,2018-12-12,200,2,8.4,1,2,2,122,3
1184,MIDAGE SINGLES/COUPLES,Budget,3.8,1,1,3.8,2018-11-25,217,1,3.8,1,1,1,111,3
1186,NEW FAMILIES,Budget,3.5999999999999996,2,2,1.7999999999999998,2018-11-23,219,2,3.5999999999999996,1,2,1,121,3
1187,YOUNG FAMILIES,Budget,5.4,2,1,5.4,2018-08-08,326,1,5.4,1,1,1,111,3
1188,RETIREES,Mainstream,9.2,3,2,4.6,2018-07-29,336,2,9.2,1,2,2,122,3
1189,RETIREES,Budget,5.4,2,2,2.7,2019-02-03,147,2,5.4,2,2,1,221,4
1190,OLDER FAMILIES,Budget,4.6,1,1,4.6,2019-05-22,39,1,4.6,4,1,1,411,4
1191,YOUNG SINGLES/COUPLES,Mainstream,5.7,1,1,5.7,2019-06-17,13,1,5.7,5,1,1,511,4
1192,YOUNG SINGLES/COUPLES,Budget,8.4,3,2,4.2,2019-03-11,111,2,8.4,2,2,2,222,4
1193,YOUNG SINGLES/COUPLES,Mainstream,4.3,1,1,4.3,2019-04-10,81,1,4.3,3,1,1,311,4
1196,YOUNG FAMILIES,Premium,10.8,2,1,10.8,2018-09-05,298,1,10.8,1,1,2,112,3
1197,RETIREES,Premium,5.7,1,1,5.7,2019-05-12,49,1,5.7,4,1,1,411,4
1199,RETIREES,Mainstream,1.8,1,1,1.8,2018-10-31,242,1,1.8,1,1,1,111,3
1201,OLDER SINGLES/COUPLES,Mainstream,3,1,1,3,2018-09-13,290,1,3,1,1,1,111,3
1202,YOUNG FAMILIES,Premium,11.100000000000001,2,2,5.550000000000001,2019-02-11,139,2,11.100000000000001,2,2,2,222,4
1203,OLDER FAMILIES,Mainstream,11.4,2,1,11.4,2018-08-24,310,1,11.4,1,1,2,112,3
1205,RETIREES,Premium,7.1,2,2,3.55,2019-02-28,122,2,7.1,2,2,1,221,4
1206,NEW FAMILIES,Mainstream,13,3,3,4.333333333333333,2019-02-12,138,3,13,2,3,2,232,4
1209,MIDAGE SINGLES/COUPLES,Premium,2.7,1,1,2.7,2018-08-10,324,1,2.7,1,1,1,111,3
1210,YOUNG SINGLES/COUPLES,Mainstream,2.7,1,1,2.7,2018-07-18,347,1,2.7,1,1,1,111,3
1211,OLDER SINGLES/COUPLES,Premium,4.4,1,1,4.4,2019-01-01,180,1,4.4,2,1,1,211,3
1212,NEW FAMILIES,Mainstream,1.7,1,1,1.7,2019-01-27,154,1,1.7,2,1,1,211,4
1216,OLDER FAMILIES,Mainstream,2.1,1,1,2.1,2018-07-28,337,1,2.1,1,1,1,111,3
1218,OLDER SINGLES/COUPLES,Budget,3.8,1,1,3.8,2019-06-13,17,1,3.8,5,1,1,511,4
1219,OLDER SINGLES/COUPLES,Premium,6.5,1,1,6.5,2019-04-30,61,1,6.5,3,1,1,311,4
1223,OLDER SINGLES/COUPLES,Mainstream,5.1,2,2,2.55,2018-12-16,196,2,5.1,1,2,1,121,3
1224,MIDAGE SINGLES/COUPLES,Mainstream,12.5,4,3,4.166666666666667,2019-03-27,95,3,12.5,3,3,2,332,4
1225,YOUNG SINGLES/COUPLES,Budget,1.9,1,1,1.9,2018-09-21,282,1,1.9,1,1,1,111,3
1226,OLDER FAMILIES,Budget,4.6,1,1,4.6,2018-10-09,264,1,4.6,1,1,1,111,3
1228,MIDAGE SINGLES/COUPLES,Mainstream,7.3,2,2,3.65,2018-09-08,295,2,7.3,1,2,1,121,3
1229,YOUNG SINGLES/COUPLES,Premium,15.2,4,3,5.066666666666666,2019-02-02,148,3,15.2,2,3,2,232,4
1232,RETIREES,Mainstream,11.9,3,2,5.95,2019-04-13,78,2,11.9,3,2,2,322,4
1233,YOUNG FAMILIES,Mainstream,21.5,5,3,7.166666666666667,2019-01-11,170,3,21.5,2,3,3,233,4
1235,OLDER FAMILIES,Budget,3,1,1,3,2019-06-21,9,1,3,5,1,1,511,4
1236,MIDAGE SINGLES/COUPLES,Mainstream,7.8,2,1,7.8,2018-09-29,274,1,7.8,1,1,2,112,3
1238,OLDER SINGLES/COUPLES,Premium,3.7,1,1,3.7,2018-10-07,266,1,3.7,1,1,1,111,3
1239,OLDER FAMILIES,Mainstream,3.7,1,1,3.7,2019-03-29,93,1,3.7,3,1,1,311,4
1240,OLDER SINGLES/COUPLES,Premium,8.5,3,3,2.8333333333333335,2019-04-24,67,3,8.5,3,3,2,332,4
1241,RETIREES,Mainstream,8.5,3,2,4.25,2019-03-04,118,2,8.5,2,2,2,222,4
1242,OLDER SINGLES/COUPLES,Budget,3.5999999999999996,2,2,1.7999999999999998,2019-06-02,28,2,3.5999999999999996,4,2,1,421,4
1243,YOUNG FAMILIES,Budget,5.4,1,1,5.4,2019-04-07,84,1,5.4,3,1,1,311,4
1244,RETIREES,Budget,7.6,2,1,7.6,2019-06-30,0,1,7.6,5,1,1,511,4
1246,YOUNG SINGLES/COUPLES,Mainstream,3.8,1,1,3.8,2018-07-14,351,1,3.8,1,1,1,111,3
1247,RETIREES,Premium,7.1000000000000005,2,2,3.5500000000000003,2019-01-02,179,2,7.1000000000000005,2,2,1,221,3
1248,RETIREES,Budget,2.6,1,1,2.6,2019-05-28,33,1,2.6,4,1,1,411,4
1250,OLDER FAMILIES,Budget,2.9,1,1,2.9,2019-03-09,113,1,2.9,2,1,1,211,4
1254,RETIREES,Budget,12.799999999999999,4,2,6.3999999999999995,2019-02-02,148,2,12.799999999999999,2,2,2,222,4
1256,YOUNG FAMILIES,Mainstream,13.600000000000001,4,3,4.533333333333334,2019-05-31,30,3,13.600000000000001,4,3,2,432,4
1257,MIDAGE SINGLES/COUPLES,Mainstream,9.3,2,2,4.65,2019-04-14,77,2,9.3,3,2,2,322,4
1259,YOUNG FAMILIES,Premium,6.5,1,1,6.5,2018-07-30,335,1,6.5,1,1,1,111,3
1262,RETIREES,Premium,14.8,4,3,4.933333333333334,2019-06-09,21,3,14.8,5,3,2,532,4
1263,YOUNG SINGLES/COUPLES,Budget,13.5,3,3,4.5,2019-03-11,111,3,13.5,2,3,2,232,4
1266,OLDER SINGLES/COUPLES,Mainstream,3.8,1,1,3.8,2019-01-08,173,1,3.8,2,1,1,211,3
1267,YOUNG SINGLES/COUPLES,Mainstream,3.7,1,1,3.7,2019-02-02,148,1,3.7,2,1,1,211,4
1270,RETIREES,Budget,7.3999999999999995,2,2,3.6999999999999997,2018-11-29,213,2,7.3999999999999995,1,2,1,121,3
1272,OLDER SINGLES/COUPLES,Premium,3,1,1,3,2019-06-22,8,1,3,5,1,1,511,4
1273,YOUNG SINGLES/COUPLES,Mainstream,7.4,2,1,7.4,2018-10-15,258,1,7.4,1,1,1,111,3
1274,RETIREES,Mainstream,7.6,2,1,7.6,2019-04-10,81,1,7.6,3,1,1,311,4
1275,RETIREES,Mainstream,4.3,1,1,4.3,2019-02-01,149,1,4.3,2,1,1,211,4
1276,MIDAGE SINGLES/COUPLES,Mainstream,2.7,1,1,2.7,2019-05-22,39,1,2.7,4,1,1,411,4
1277,OLDER SINGLES/COUPLES,Premium,5.6,2,2,2.8,2019-05-31,30,2,5.6,4,2,1,421,4
1278,NEW FAMILIES,Mainstream,12.6,3,3,4.2,2018-11-30,212,3,12.6,1,3,2,132,3
1280,OLDER SINGLES/COUPLES,Budget,11.4,3,2,5.7,2018-10-25,248,2,11.4,1,2,2,122,3
1281,OLDER FAMILIES,Budget,2.7,1,1,2.7,2019-03-19,103,1,2.7,3,1,1,311,4
1282,YOUNG SINGLES/COUPLES,Budget,2.7,1,1,2.7,2018-08-16,318,1,2.7,1,1,1,111,3
1283,OLDER FAMILIES,Budget,1.9,1,1,1.9,2018-07-29,336,1,1.9,1,1,1,111,3
1284,YOUNG FAMILIES,Mainstream,3,1,1,3,2018-08-07,327,1,3,1,1,1,111,3
1285,YOUNG SINGLES/COUPLES,Mainstream,5.9,1,1,5.9,2019-01-18,163,1,5.9,2,1,1,211,3
1286,YOUNG SINGLES/COUPLES,Mainstream,8.3,3,2,4.15,2019-03-02,120,2,8.3,2,2,2,222,4
1287,RETIREES,Mainstream,9.2,2,1,9.2,2018-09-24,279,1,9.2,1,1,2,112,3
1288,OLDER FAMILIES,Budget,10,3,3,3.3333333333333335,2018-11-10,232,3,10,1,3,2,132,3
1289,YOUNG SINGLES/COUPLES,Premium,7.6,4,1,7.6,2019-05-14,47,1,7.6,4,1,1,411,4
1290,RETIREES,Budget,3.7,1,1,3.7,2018-12-19,193,1,3.7,1,1,1,111,3
1291,YOUNG SINGLES/COUPLES,Mainstream,10.4,5,4,2.6,2018-10-14,259,4,10.4,1,3,2,132,3
1292,RETIREES,Premium,2.1,1,1,2.1,2018-08-22,312,1,2.1,1,1,1,111,3
1293,OLDER SINGLES/COUPLES,Budget,10.8,2,1,10.8,2018-07-04,361,1,10.8,1,1,2,112,3
1294,RETIREES,Budget,3,1,1,3,2018-08-09,325,1,3,1,1,1,111,3
1297,YOUNG SINGLES/COUPLES,Mainstream,7.8,2,1,7.8,2019-05-24,37,1,7.8,4,1,2,412,4
1298,YOUNG FAMILIES,Mainstream,7.699999999999999,3,2,3.8499999999999996,2019-02-23,127,2,7.699999999999999,2,2,2,222,4
1303,YOUNG SINGLES/COUPLES,Mainstream,6.6,2,1,6.6,2019-01-25,156,1,6.6,2,1,1,211,4
1305,YOUNG SINGLES/COUPLES,Budget,11.4,2,2,5.7,2019-02-22,128,2,11.4,2,2,2,222,4
1306,RETIREES,Budget,4.4,1,1,4.4,2019-03-08,114,1,4.4,2,1,1,211,4
1307,MIDAGE SINGLES/COUPLES,Budget,12.2,6,3,4.066666666666666,2019-05-14,47,3,12.2,4,3,2,432,4
1308,YOUNG SINGLES/COUPLES,Mainstream,5.4,1,1,5.4,2018-09-06,297,1,5.4,1,1,1,111,3
1310,OLDER SINGLES/COUPLES,Budget,2.6,1,1,2.6,2018-11-13,229,1,2.6,1,1,1,111,3
1312,OLDER SINGLES/COUPLES,Mainstream,3,1,1,3,2018-08-01,333,1,3,1,1,1,111,3
1313,YOUNG SINGLES/COUPLES,Budget,16.5,5,4,4.125,2019-06-27,3,4,16.5,5,3,3,533,4
1314,YOUNG SINGLES/COUPLES,Budget,4.7,2,2,2.35,2019-02-13,137,2,4.7,2,2,1,221,4
1317,OLDER FAMILIES,Premium,4.4,1,1,4.4,2018-10-06,267,1,4.4,1,1,1,111,3
1318,NEW FAMILIES,Mainstream,15.600000000000001,4,3,5.2,2019-04-04,87,3,15.600000000000001,3,3,2,332,4
1320,YOUNG SINGLES/COUPLES,Premium,8.3,2,2,4.15,2019-04-16,75,2,8.3,3,2,2,322,4
1324,YOUNG SINGLES/COUPLES,Budget,3.4,2,1,3.4,2018-07-15,350,1,3.4,1,1,1,111,3
1326,RETIREES,Mainstream,11.1,3,2,5.55,2018-11-26,216,2,11.1,1,2,2,122,3
1327,RETIREES,Mainstream,5.4,1,1,5.4,2018-12-01,211,1,5.4,1,1,1,111,3
1330,RETIREES,Premium,9.8,3,3,3.266666666666667,2018-12-18,194,3,9.8,1,3,2,132,3
1333,NEW FAMILIES,Budget,4.4,1,1,4.4,2018-09-23,280,1,4.4,1,1,1,111,3
1335,YOUNG SINGLES/COUPLES,Budget,6,2,2,3,2018-11-23,219,2,6,1,2,1,121,3
1336,RETIREES,Budget,5.6,2,2,2.8,2019-06-27,3,2,5.6,5,2,1,521,4
1337,RETIREES,Mainstream,5.2,2,1,5.2,2019-02-06,144,1,5.2,2,1,1,211,4
1338,YOUNG SINGLES/COUPLES,Mainstream,2.7,1,1,2.7,2019-02-18,132,1,2.7,2,1,1,211,4
1339,OLDER FAMILIES,Premium,2.7,1,1,2.7,2019-01-04,177,1,2.7,2,1,1,211,3
1341,YOUNG FAMILIES,Mainstream,1.9,1,1,1.9,2018-08-01,333,1,1.9,1,1,1,111,3
1342,RETIREES,Mainstream,4.4,1,1,4.4,2019-05-13,48,1,4.4,4,1,1,411,4
1343,MIDAGE SINGLES/COUPLES,Budget,2.9,2,1,2.9,2019-05-20,41,1,2.9,4,1,1,411,4
1345,OLDER SINGLES/COUPLES,Mainstream,6.7,2,2,3.35,2018-12-21,191,2,6.7,1,2,1,121,3
1346,YOUNG SINGLES/COUPLES,Mainstream,16.6,4,3,5.533333333333334,2019-05-07,54,3,16.6,4,3,3,433,4
1347,RETIREES,Mainstream,2.9,1,1,2.9,2018-12-05,207,1,2.9,1,1,1,111,3
1348,MIDAGE SINGLES/COUPLES,Budget,6,2,2,3,2019-03-13,109,2,6,2,2,1,221,4
1349,OLDER SINGLES/COUPLES,Budget,9.1,3,2,4.55,2019-04-21,70,2,9.1,3,2,2,322,4
1350,OLDER FAMILIES,Budget,5.9,2,2,2.95,2019-04-07,84,2,5.9,3,2,1,321,4
1352,OLDER SINGLES/COUPLES,Mainstream,4.6,1,1,4.6,2018-07-11,354,1,4.6,1,1,1,111,3
1353,YOUNG SINGLES/COUPLES,Mainstream,13,3,2,6.5,2018-12-11,201,2,13,1,2,2,122,3
1354,OLDER SINGLES/COUPLES,Budget,1.7,1,1,1.7,2019-06-14,16,1,1.7,5,1,1,511,4
1356,OLDER FAMILIES,Premium,2.7,1,1,2.7,2019-05-29,32,1,2.7,4,1,1,411,4
1357,OLDER SINGLES/COUPLES,Budget,15.2,4,3,5.066666666666666,2019-05-25,36,3,15.2,4,3,2,432,4
1358,OLDER FAMILIES,Mainstream,3.3,1,1,3.3,2018-12-02,210,1,3.3,1,1,1,111,3
1359,YOUNG SINGLES/COUPLES,Mainstream,3,1,1,3,2018-12-20,192,1,3,1,1,1,111,3
1360,YOUNG SINGLES/COUPLES,Mainstream,14.1,3,3,4.7,2019-06-01,29,3,14.1,4,3,2,432,4
1361,RETIREES,Budget,3.7,1,1,3.7,2019-05-08,53,1,3.7,4,1,1,411,4
1362,OLDER FAMILIES,Mainstream,5.4,1,1,5.4,2018-11-04,238,1,5.4,1,1,1,111,3
1363,YOUNG FAMILIES,Budget,3.8,1,1,3.8,2019-06-04,26,1,3.8,4,1,1,411,4
1364,RETIREES,Premium,6.6,2,2,3.3,2019-05-05,56,2,6.6,3,2,1,321,4
1365,RETIREES,Mainstream,7.6,2,2,3.8,2019-03-02,120,2,7.6,2,2,1,221,4
