lylty_card_nbr,lifestage,premium_customer,total_sales,total_units,transactions,avg_spend_per_txn,last_purchase,recency_days,frequency,monetary
1146,YOUNG SINGLES/COUPLES,Premium,7.8,3,3,2.6,2019-05-24,37,3,7.8
1147,NEW FAMILIES,Premium,5.4,1,1,5.4,2018-08-11,323,1,5.4
1149,YOUNG FAMILIES,Mainstream,2.6,1,1,2.6,2019-05-01,60,1,2.6
1150,YOUNG SINGLES/COUPLES,Budget,14.3,4,3,4.766666666666667,2019-04-14,77,3,14.3
1155,OLDER SINGLES/COUPLES,Budget,3,1,1,3,2018-07-16,349,1,3
1156,RETIREES,Premium,3.7,1,1,3.7,2018-09-16,287,1,3.7
1158,OLDER SINGLES/COUPLES,Mainstream,2.1,1,1,2.1,2019-02-08,142,1,2.1
1159,YOUNG SINGLES/COUPLES,Mainstream,18.900000000000002,4,4,4.7250000000000005,2019-05-05,56,4,18.900000000000002
1161,YOUNG SINGLES/COUPLES,Mainstream,3.7,1,1,3.7,2018-09-02,301,1,3.7
1163,YOUNG SINGLES/COUPLES,Mainstream,8.4,2,2,4.2,2019-02-07,143,2,8.4
1164,YOUNG SINGLES/COUPLES,Mainstream,6.5,2,2,3.25,2019-03-02,120,2,6.5
1165,YOUNG SINGLES/COUPLES,Budget,3,1,1,3,2019-05-17,44,1,3
1168,YOUNG SINGLES/COUPLES,Premium,8.8,2,1,8.8,2019-03-10,112,1,8.8
1169,NEW FAMILIES,Budget,8.8,3,2,4.4,2019-01-18,163,2,8.8
1172,OLDER FAMILIES,Mainstream,6,2,1,6,2018-10-25,248,1,6
1173,RETIREES,Mainstream,8.1,3,3,2.6999999999999997,2018-12-20,192,3,8.1
1174,OLDER SINGLES/COUPLES,Budget,14.2,4,2,7.1,2019-02-15,135,2,14.2
1177,YOUNG SINGLES/COUPLES,Mainstream,3.7,1,1,3.7,2019-06-18,12,1,3.7
1178,RETIREES,Mainstream,4.2,1,1,4.2,2018-10-21,252,1,4.2
1179,YOUNG SINGLES/COUPLES,Mainstream,15.600000000000001,4,3,5.2,2019-05-27,34,3,15.600000000000001
1181,YOUNG SINGLES/COUPLES,Premium,1.9,1,1,1.9,2018-09-18,285,1,1.9
1182,YOUNG SINGLES/COUPLES,Budget,10.4,3,2,5.2,2018-12-17,195,2,10.4
1183,YOUNG SINGLES/COUPLES,Budget,8.4,3,2,4.2,2018-12-12,200,2,8.4
1184,MIDAGE SINGLES/COUPLES,Budget,3.8,1,1,3.8,2018-11-25,217,1,3.8
1186,NEW FAMILIES,Budget,3.5999999999999996,2,2,1.7999999999999998,2018-11-23,219,2,3.5999999999999996
1187,YOUNG FAMILIES,Budget,5.4,2,1,5.4,2018-08-08,326,1,5.4
1188,RETIREES,Mainstream,9.2,3,2,4.6,2018-07-29,336,2,9.2
1189,RETIREES,Budget,5.4,2,2,2.7,2019-02-03,147,2,5.4
1190,OLDER FAMILIES,Budget,4.6,1,1,4.6,2019-05-22,39,1,4.6
1191,YOUNG SINGLES/COUPLES,Mainstream,5.7,1,1,5.7,2019-06-17,13,1,5.7
1192,YOUNG SINGLES/COUPLES,Budget,8.4,3,2,4.2,2019-03-11,111,2,8.4
1193,YOUNG SINGLES/COUPLES,Mainstream,4.3,1,1,4.3,2019-04-10,81,1,4.3
1196,YOUNG FAMILIES,Premium,10.8,2,1,10.8,2018-09-05,298,1,10.8
1197,RETIREES,Premium,5.7,1,1,5.7,2019-05-12,49,1,5.7
1199,RETIREES,Mainstream,1.8,1,1,1.8,2018-10-31,242,1,1.8
1201,OLDER SINGLES/COUPLES,Mainstream,3,1,1,3,2018-09-13,290,1,3
1202,YOUNG FAMILIES,Premium,11.100000000000001,2,2,5.550000000000001,2019-02-11,139,2,11.100000000000001
1203,OLDER FAMILIES,Mainstream,11.4,2,1,11.4,2018-08-24,310,1,11.4
1205,RETIREES,Premium,7.1,2,2,3.55,2019-02-28,122,2,7.1
1206,NEW FAMILIES,Mainstream,13,3,3,4.333333333333333,2019-02-12,138,3,13
1209,MIDAGE SINGLES/COUPLES,Premium,2.7,1,1,2.7,2018-08-10,324,1,2.7
1210,YOUNG SINGLES/COUPLES,Mainstream,2.7,1,1,2.7,2018-07-18,347,1,2.7
1211,OLDER SINGLES/COUPLES,Premium,4.4,1,1,4.4,2019-01-01,180,1,4.4
1212,NEW FAMILIES,Mainstream,1.7,1,1,1.7,2019-01-27,154,1,1.7
1216,OLDER FAMILIES,Mainstream,2.1,1,1,2.1,2018-07-28,337,1,2.1
1218,OLDER SINGLES/COUPLES,Budget,3.8,1,1,3.8,2019-06-13,17,1,3.8
1219,OLDER SINGLES/COUPLES,Premium,6.5,1,1,6.5,2019-04-30,61,1,6.5
1223,OLDER SINGLES/COUPLES,Mainstream,5.1,2,2,2.55,2018-12-16,196,2,5.1
1224,MIDAGE SINGLES/COUPLES,Mainstream,12.5,4,3,4.166666666666667,2019-03-27,95,3,12.5
1225,YOUNG SINGLES/COUPLES,Budget,1.9,1,1,1.9,2018-09-21,282,1,1.9
1226,OLDER FAMILIES,Budget,4.6,1,1,4.6,2018-10-09,264,1,4.6
1228,MIDAGE SINGLES/COUPLES,Mainstream,7.3,2,2,3.65,2018-09-08,295,2,7.3
1229,YOUNG SINGLES/COUPLES,Premium,15.2,4,3,5.066666666666666,2019-02-02,148,3,15.2
1232,RETIREES,Mainstream,11.9,3,2,5.95,2019-04-13,78,2,11.9
1233,YOUNG FAMILIES,Mainstream,21.5,5,3,7.166666666666667,2019-01-11,170,3,21.5
1235,OLDER FAMILIES,Budget,3,1,1,3,2019-06-21,9,1,3
1236,MIDAGE SINGLES/COUPLES,Mainstream,7.8,2,1,7.8,2018-09-29,274,1,7.8
1238,OLDER SINGLES/COUPLES,Premium,3.7,1,1,3.7,2018-10-07,266,1,3.7
1239,OLDER FAMILIES,Mainstream,3.7,1,1,3.7,2019-03-29,93,1,3.7
1240,OLDER SINGLES/COUPLES,Premium,8.5,3,3,2.8333333333333335,2019-04-24,67,3,8.5
1241,RETIREES,Mainstream,8.5,3,2,4.25,2019-03-04,118,2,8.5
1242,OLDER SINGLES/COUPLES,Budget,3.5999999999999996,2,2,1.7999999999999998,2019-06-02,28,2,3.5999999999999996
1243,YOUNG FAMILIES,Budget,5.4,1,1,5.4,2019-04-07,84,1,5.4
1244,RETIREES,Budget,7.6,2,1,7.6,2019-06-30,0,1,7.6
1246,YOUNG SINGLES/COUPLES,Mainstream,3.8,1,1,3.8,2018-07-14,351,1,3.8
1247,RETIREES,Premium,7.1000000000000005,2,2,3.5500000000000003,2019-01-02,179,2,7.1000000000000005
1248,RETIREES,Budget,2.6,1,1,2.6,2019-05-28,33,1,2.6
1250,OLDER FAMILIES,Budget,2.9,1,1,2.9,2019-03-09,113,1,2.9
1254,RETIREES,Budget,12.799999999999999,4,2,6.3999999999999995,2019-02-02,148,2,12.799999999999999
1256,YOUNG FAMILIES,Mainstream,13.600000000000001,4,3,4.533333333333334,2019-05-31,30,3,13.600000000000001
1257,MIDAGE SINGLES/COUPLES,Mainstream,9.3,2,2,4.65,2019-04-14,77,2,9.3
1259,YOUNG FAMILIES,Premium,6.5,1,1,6.5,2018-07-30,335,1,6.5
1262,RETIREES,Premium,14.8,4,3,4.933333333333334,2019-06-09,21,3,14.8
1263,YOUNG SINGLES/COUPLES,Budget,13.5,3,3,4.5,2019-03-11,111,3,13.5
1266,OLDER SINGLES/COUPLES,Mainstream,3.8,1,1,3.8,2019-01-08,173,1,3.8
1267,YOUNG SINGLES/COUPLES,Mainstream,3.7,1,1,3.7,2019-02-02,148,1,3.7
1270,RETIREES,Budget,7.3999999999999995,2,2,3.6999999999999997,2018-11-29,213,2,7.3999999999999995
1272,OLDER SINGLES/COUPLES,Premium,3,1,1,3,2019-06-22,8,1,3
1273,YOUNG SINGLES/COUPLES,Mainstream,7.4,2,1,7.4,2018-10-15,258,1,7.4
1274,RETIREES,Mainstream,7.6,2,1,7.6,2019-04-10,81,1,7.6
1275,RETIREES,Mainstream,4.3,1,1,4.3,2019-02-01,149,1,4.3
1276,MIDAGE SINGLES/COUPLES,Mainstream,2.7,1,1,2.7,2019-05-22,39,1,2.7
1277,OLDER SINGLES/COUPLES,Premium,5.6,2,2,2.8,2019-05-31,30,2,5.6
1278,NEW FAMILIES,Mainstream,12.6,3,3,4.2,2018-11-30,212,3,12.6
1280,OLDER SINGLES/COUPLES,Budget,11.4,3,2,5.7,2018-10-25,248,2,11.4
1281,OLDER FAMILIES,Budget,2.7,1,1,2.7,2019-03-19,103,1,2.7
1282,YOUNG SINGLES/COUPLES,Budget,2.7,1,1,2.7,2018-08-16,318,1,2.7
1283,OLDER FAMILIES,Budget,1.9,1,1,1.9,2018-07-29,336,1,1.9
1284,YOUNG FAMILIES,Mainstream,3,1,1,3,2018-08-07,327,1,3
1285,YOUNG SINGLES/COUPLES,Mainstream,5.9,1,1,5.9,2019-01-18,163,1,5.9
1286,YOUNG SINGLES/COUPLES,Mainstream,8.3,3,2,4.15,2019-03-02,120,2,8.3
1287,RETIREES,Mainstream,9.2,2,1,9.2,2018-09-24,279,1,9.2
1288,OLDER FAMILIES,Budget,10,3,3,3.3333333333333335,2018-11-10,232,3,10
1289,YOUNG SINGLES/COUPLES,Premium,7.6,4,1,7.6,2019-05-14,47,1,7.6
1290,RETIREES,Budget,3.7,1,1,3.7,2018-12-19,193,1,3.7
1291,YOUNG SINGLES/COUPLES,Mainstream,10.4,5,4,2.6,2018-10-14,259,4,10.4
1292,RETIREES,Premium,2.1,1,1,2.1,2018-08-22,312,1,2.1
1293,OLDER SINGLES/COUPLES,Budget,10.8,2,1,10.8,2018-07-04,361,1,10.8
1294,RETIREES,Budget,3,1,1,3,2018-08-09,325,1,3
1297,YOUNG SINGLES/COUPLES,Mainstream,7.8,2,1,7.8,2019-05-24,37,1,7.8
1298,YOUNG FAMILIES,Mainstream,7.699999999999999,3,2,3.8499999999999996,2019-02-23,127,2,7.699999999999999
1303,YOUNG SINGLES/COUPLES,Mainstream,6.6,2,1,6.6,2019-01-25,156,1,6.6
1305,YOUNG SINGLES/COUPLES,Budget,11.4,2,2,5.7,2019-02-22,128,2,11.4
1306,RETIREES,Budget,4.4,1,1,4.4,2019-03-08,114,1,4.4
1307,MIDAGE SINGLES/COUPLES,Budget,12.2,6,3,4.066666666666666,2019-05-14,47,3,12.2
1308,YOUNG SINGLES/COUPLES,Mainstream,5.4,1,1,5.4,2018-09-06,297,1,5.4
1310,OLDER SINGLES/COUPLES,Budget,2.6,1,1,2.6,2018-11-13,229,1,2.6
1312,OLDER SINGLES/COUPLES,Mainstream,3,1,1,3,2018-08-01,333,1,3
1313,YOUNG SINGLES/COUPLES,Budget,16.5,5,4,4.125,2019-06-27,3,4,16.5
1314,YOUNG SINGLES/COUPLES,Budget,4.7,2,2,2.35,2019-02-13,137,2,4.7
1317,OLDER FAMILIES,Premium,4.4,1,1,4.4,2018-10-06,267,1,4.4
1318,NEW FAMILIES,Mainstream,15.600000000000001,4,3,5.2,2019-04-04,87,3,15.600000000000001
1320,YOUNG SINGLES/COUPLES,Premium,8.3,2,2,4.15,2019-04-16,75,2,8.3
1324,YOUNG SINGLES/COUPLES,Budget,3.4,2,1,3.4,2018-07-15,350,1,3.4
1326,RETIREES,Mainstream,11.1,3,2,5.55,2018-11-26,216,2,11.1
1327,RETIREES,Mainstream,5.4,1,1,5.4,2018-12-01,211,1,5.4
1330,RETIREES,Premium,9.8,3,3,3.266666666666667,2018-12-18,194,3,9.8
1333,NEW FAMILIES,Budget,4.4,1,1,4.4,2018-09-23,280,1,4.4
1335,YOUNG SINGLES/COUPLES,Budget,6,2,2,3,2018-11-23,219,2,6
1336,RETIREES,Budget,5.6,2,2,2.8,2019-06-27,3,2,5.6
1337,RETIREES,Mainstream,5.2,2,1,5.2,2019-02-06,144,1,5.2
1338,YOUNG SINGLES/COUPLES,Mainstream,2.7,1,1,2.7,2019-02-18,132,1,2.7
1339,OLDER FAMILIES,Premium,2.7,1,1,2.7,2019-01-04,177,1,2.7
1341,YOUNG FAMILIES,Mainstream,1.9,1,1,1.9,2018-08-01,333,1,1.9
1342,RETIREES,Mainstream,4.4,1,1,4.4,2019-05-13,48,1,4.4
1343,MIDAGE SINGLES/COUPLES,Budget,2.9,2,1,2.9,2019-05-20,41,1,2.9
1345,OLDER SINGLES/COUPLES,Mainstream,6.7,2,2,3.35,2018-12-21,191,2,6.7
1346,YOUNG SINGLES/COUPLES,Mainstream,16.6,4,3,5.533333333333334,2019-05-07,54,3,16.6
1347,RETIREES,Mainstream,2.9,1,1,2.9,2018-12-05,207,1,2.9
1348,MIDAGE SINGLES/COUPLES,Budget,6,2,2,3,2019-03-13,109,2,6
1349,OLDER SINGLES/COUPLES,Budget,9.1,3,2,4.55,2019-04-21,70,2,9.1
1350,OLDER FAMILIES,Budget,5.9,2,2,2.95,2019-04-07,84,2,5.9
1352,OLDER SINGLES/COUPLES,Mainstream,4.6,1,1,4.6,2018-07-11,354,1,4.6
1353,YOUNG SINGLES/COUPLES,Mainstream,13,3,2,6.5,2018-12-11,201,2,13
1354,OLDER SINGLES/COUPLES,Budget,1.7,1,1,1.7,2019-06-14,16,1,1.7
1356,OLDER FAMILIES,Premium,2.7,1,1,2.7,2019-05-29,32,1,2.7
1357,OLDER SINGLES/COUPLES,Budget,15.2,4,3,5.066666666666666,2019-05-25,36,3,15.2
1358,OLDER FAMILIES,Mainstream,3.3,1,1,3.3,2018-12-02,210,1,3.3
1359,YOUNG SINGLES/COUPLES,Mainstream,3,1,1,3,2018-12-20,192,1,3
1360,YOUNG SINGLES/COUPLES,Mainstream,14.1,3,3,4.7,2019-06-01,29,3,14.1
1361,RETIREES,Budget,3.7,1,1,3.7,2019-05-08,53,1,3.7
1362,OLDER FAMILIES,Mainstream,5.4,1,1,5.4,2018-11-04,238,1,5.4
1363,YOUNG FAMILIES,Budget,3.8,1,1,3.8,2019-06-04,26,1,3.8
1364,RETIREES,Premium,6.6,2,2,3.3,2019-05-05,56,2,6.6
1365,RETIREES,Mainstream,7.6,2,2,3.8,2019-03-02,120,2,7.6
1366,MIDAGE SINGLES/COUPLES,Premium,1.9,1,1,1.9,2018-07-03,362,1,1.9
1367,OLDER FAMILIES,Budget,17.1,4,3,5.7,2019-05-20,41,3,17.1
1369,NEW FAMILIES,Premium,9.8,3,3,3.266666666666667,2019-04-14,77,3,9.8
1373,OLDER FAMILIES,Budget,3.1,1,1,3.1,2018-09-21,282,1,3.1
1374,MIDAGE SINGLES/COUPLES,Premium,6.5,2,2,3.25,2018-10-27,246,2,6.5
1375,OLDER SINGLES/COUPLES,Premium,3,1,1,3,2018-08-14,320,1,3
1376,RETIREES,Mainstream,12.100000000000001,5,3,4.033333333333334,2019-04-02,89,3,12.100000000000001
1377,OLDER SINGLES/COUPLES,Premium,4.9,2,2,2.45,2018-10-15,258,2,4.9
1378,OLDER SINGLES/COUPLES,Premium,4.4,1,1,4.4,2018-11-06,236,1,4.4
1380,YOUNG SINGLES/COUPLES,Premium,19,5,3,6.333333333333333,2019-06-26,4,3,19
1383,YOUNG SINGLES/COUPLES,Mainstream,12.8,3,2,6.4,2018-11-16,226,2,12.8
1384,YOUNG SINGLES/COUPLES,Budget,3,1,1,3,2018-07-02,363,1,3
1385,YOUNG SINGLES/COUPLES,Budget,9.899999999999999,3,2,4.949999999999999,2018-10-05,268,2,9.899999999999999
1386,OLDER SINGLES/COUPLES,Mainstream,4.2,2,1,4.2,2019-03-22,100,1,4.2
1390,YOUNG FAMILIES,Premium,2.3,1,1,2.3,2018-09-06,297,1,2.3
1392,YOUNG FAMILIES,Budget,6,2,2,3,2019-06-15,15,2,6
1394,YOUNG SINGLES/COUPLES,Mainstream,4.4,1,1,4.4,2018-12-29,183,1,4.4
1395,MIDAGE SINGLES/COUPLES,Budget,5.8,2,1,5.8,2019-04-06,85,1,5.8
1396,MIDAGE SINGLES/COUPLES,Premium,2.7,1,1,2.7,2019-02-06,144,1,2.7
1397,YOUNG SINGLES/COUPLES,Mainstream,1.7,1,1,1.7,2018-11-10,232,1,1.7
1399,MIDAGE SINGLES/COUPLES,Premium,1.9,1,1,1.9,2018-11-29,213,1,1.9
1400,RETIREES,Premium,7.300000000000001,2,2,3.6500000000000004,2018-10-17,256,2,7.300000000000001
1401,NEW FAMILIES,Premium,5.699999999999999,3,2,2.8499999999999996,2019-06-07,23,2,5.699999999999999
1402,YOUNG SINGLES/COUPLES,Mainstream,16.3,4,3,5.433333333333334,2019-06-30,0,3,16.3
1403,YOUNG FAMILIES,Budget,6.300000000000001,2,2,3.1500000000000004,2019-06-19,11,2,6.300000000000001
1404,OLDER SINGLES/COUPLES,Mainstream,1.9,1,1,1.9,2018-08-15,319,1,1.9
1406,OLDER SINGLES/COUPLES,Premium,5.6,2,2,2.8,2019-06-19,11,2,5.6
1407,MIDAGE SINGLES/COUPLES,Mainstream,5.4,1,1,5.4,2018-12-28,184,1,5.4
1408,RETIREES,Mainstream,1.9,1,1,1.9,2019-06-23,7,1,1.9
1409,YOUNG SINGLES/COUPLES,Mainstream,7.4,2,2,3.7,2019-05-07,54,2,7.4
1410,RETIREES,Budget,6,2,1,6,2018-12-24,188,1,6
1411,MIDAGE SINGLES/COUPLES,Budget,14.5,4,4,3.625,2019-03-04,118,4,14.5
1412,OLDER FAMILIES,Mainstream,5.4,2,1,5.4,2018-07-29,336,1,5.4
1413,OLDER FAMILIES,Budget,8.4,3,2,4.2,2019-04-20,71,2,8.4
1414,RETIREES,Mainstream,8.6,3,3,2.8666666666666667,2019-04-13,78,3,8.6
1415,YOUNG SINGLES/COUPLES,Mainstream,3.3,1,1,3.3,2019-03-01,121,1,3.3
1417,YOUNG SINGLES/COUPLES,Mainstream,9.600000000000001,3,2,4.800000000000001,2018-09-02,301,2,9.600000000000001
1418,MIDAGE SINGLES/COUPLES,Premium,4.6,1,1,4.6,2018-11-01,241,1,4.6
1419,YOUNG FAMILIES,Budget,17.5,4,3,5.833333333333333,2018-11-07,235,3,17.5
1420,OLDER FAMILIES,Mainstream,3.3,1,1,3.3,2019-03-16,106,1,3.3
1421,YOUNG SINGLES/COUPLES,Premium,2.6,1,1,2.6,2019-06-10,20,1,2.6
1423,YOUNG SINGLES/COUPLES,Mainstream,11.1,3,3,3.6999999999999997,2019-04-05,86,3,11.1
1424,RETIREES,Budget,1.7,1,1,1.7,2019-05-18,43,1,1.7
1425,YOUNG SINGLES/COUPLES,Mainstream,4.6,1,1,4.6,2018-07-24,341,1,4.6
1429,YOUNG SINGLES/COUPLES,Budget,8.8,2,1,8.8,2018-09-25,278,1,8.8
1430,YOUNG FAMILIES,Premium,4.4,1,1,4.4,2018-09-27,276,1,4.4
1431,RETIREES,Budget,4.6,1,1,4.6,2018-10-02,271,1,4.6
1433,NEW FAMILIES,Budget,2.7,1,1,2.7,2019-06-09,21,1,2.7
1434,YOUNG SINGLES/COUPLES,Mainstream,10.700000000000001,3,2,5.3500000000000005,2018-11-08,234,2,10.700000000000001
